	90763_231C_S65_L001_R1_001	90763_232C_S66_L001_R1_001	90763_236C_S67_L001_R1_001	90763_237C_S68_L001_R1_001	90763_238C_S69_L001_R1_001	90768_005C_S70_L001_R1_001	90768_009C_S71_L001_R1_001	90768_014C_S72_L001_R1_001	90768_015C_S73_L001_R1_001	90768_018C_S74_L001_R1_001	90768_027C_S75_L001_R1_001	90768_029C_S76_L001_R1_001	90768_034C_S77_L001_R1_001	90768_040C_S78_L001_R1_001	90768_042C_S79_L001_R1_001	90768_044C_S80_L001_R1_001	90768_054C_S81_L001_R1_001	90768_055C_S82_L001_R1_001	90768_056C_S83_L001_R1_001	90768_057C_S84_L001_R1_001	90768_061C_S85_L001_R1_001	90768_064C_S86_L001_R1_001	90768_067C_S87_L001_R1_001	90768_075C_S88_L001_R1_001	90768_076C_S89_L001_R1_001	90768_077C_S90_L001_R1_001	90768_078C_S91_L001_R1_001	90768_083C_S92_L001_R1_001	90768_084C_S93_L001_R1_001	90768_088C_S94_L001_R1_001	90768_090C_S95_L001_R1_001	90768_104C_S96_L001_R1_001
Tpa_0226_1	0,9	0,8	5,0	0,15	0,17	0,1	0,0	0,1	0,7	0,0	0,7	0,9	0,0	0,3	0,6	0,1	0,0	0,19	1,2	0,11	0,0	0,5	0,3	0,0	0,1	0,1	0,27	0,1	0,7	0,5	0,1	0,0
Tpa_0228_1	0,2	0,4	0,0	0,10	0,10	0,0	0,0	0,1	0,4	0,0	1,1	0,0	0,1	0,3	0,3	0,1	0,0	0,12	0,1	0,7	0,0	0,5	0,0	0,1	0,0	0,0	0,11	0,0	0,6	0,2	0,0	0,0
Tpa_0263_1	20,0	14,0	42,48	0,0	0,7	1,5	0,0	0,1	2,0	0,0	0,14	3,1	0,0	2,0	0,10	0,4	0,0	1,21	0,1	0,5	0,0	0,4	0,2	0,1	1,0	0,2	0,46	0,0	0,4	1,0	0,0	0,0
Tpa_0269_1	0,9	0,1	0,3	0,0	0,0	2,1	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0
Tpa_0272_1	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0301_1	21,0	7,0	40,0	0,0	2,0	28,0	1,0	0,0	0,0	0,0	0,0	3,0	1,0	0,0	0,0	3,0	0,0	0,0	0,0	0,0	0,0	1,0	1,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0
Tpa_0342_1	8,7	1,0	14,11	0,0	3,0	12,0	0,0	0,0	0,0	0,0	0,0	1,1	0,0	1,0	0,0	3,0	0,0	4,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,1	3,0	0,0	1,0	0,0	0,0	0,0
Tpa_0346_1	48,0	9,0	31,0	2,0	7,0	17,0	0,0	0,0	3,0	1,0	19,0	40,0	0,0	6,0	5,0	14,0	1,0	21,0	0,0	13,0	0,0	3,2	0,1	0,0	0,0	1,0	9,3	0,0	4,0	0,0	0,0	0,0
Tpa_0358_1	13,0	7,0	42,0	1,0	6,0	6,0	0,0	0,0	1,0	0,0	1,0	0,0	1,0	2,0	3,0	1,0	0,0	3,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	13,0	0,0	0,0	0,0	0,0	0,0
Tpa_0366_1	0,0	0,0	2,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0367_1	18,0	10,0	86,0	1,0	7,0	9,0	0,0	0,0	2,0	0,0	0,0	2,0	1,0	0,0	1,0	0,0	0,0	6,0	0,0	1,0	0,0	2,0	0,0	2,0	0,0	0,0	8,0	0,0	2,0	0,0	0,0	0,0
Tpa_0371_1	0,0	0,0	1,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0395_1	0,0	0,0	0,1	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0409_1	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0427_1	0,56	24,0	30,33	0,2	20,0	0,9	2,1	0,0	6,3	1,0	24,0	33,0	0,3	32,0	11,4	8,1	0,0	0,9	0,0	1,4	1,0	0,7	4,0	0,0	2,0	3,0	0,34	2,1	7,2	3,0	0,0	0,0
Tpa_0429_1	0,7	0,0	0,3	0,1	0,2	0,3	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,1	0,0	0,0	0,0	0,0
Tpa_0438_1	0,1	0,3	0,3	0,0	0,1	0,0	0,0	0,1	0,1	0,0	0,1	0,0	0,0	0,1	0,0	0,0	0,0	0,2	0,0	0,0	0,1	1,0	0,1	0,0	0,0	0,0	0,3	0,0	0,0	0,0	0,0	0,0
Tpa_0439_1	0,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0474_1	0,0	1,0	0,0	0,0	3,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	1,0	0,0	1,0	0,0	0,0	1,0	0,0	2,0	0,0	0,0	0,0
Tpa_0492_1	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0500_1	0,1	0,0	6,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0540_1	0,50	6,5	0,53	3,3	15,13	6,4	1,1	0,0	0,14	0,1	0,20	4,2	0,0	0,8	0,12	0,9	0,0	0,28	1,0	15,2	0,3	0,15	2,1	0,0	2,0	4,4	22,20	0,2	6,4	0,6	0,1	0,0
Tpa_0547_1	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0556_1	32,0	9,0	140,0	4,0	18,0	15,0	0,0	1,0	7,0	0,0	11,0	11,0	0,0	2,0	6,0	6,1	1,0	24,0	0,0	7,0	0,0	13,0	2,0	2,0	5,0	4,0	35,0	0,0	4,0	2,0	1,0	0,0
Tpa_0569_1	0,0	0,0	0,1	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0592_1	11,0	1,0	8,6	0,0	0,0	3,0	0,0	0,0	0,0	1,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	1,0	0,0	0,0	0,0	0,1	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0650_1	0,30	0,1	0,2	0,1	0,2	0,2	0,0	0,0	0,0	0,0	0,0	0,2	0,0	0,1	0,2	0,0	0,0	0,4	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,0	0,10	0,0	0,1	0,0	0,0	0,0
Tpa_0671_1	2,0	0,0	5,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0
Tpa_0678_1	0,2	0,2	0,1	0,0	0,4	0,1	0,0	0,1	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,9	0,1	0,2	0,0	0,0	0,0	0,3	0,0	0,0	0,0	0,0	0,0
Tpa_0730_1	14,12	0,8	0,59	0,3	2,5	0,13	0,2	0,0	0,4	0,0	0,5	0,6	0,2	0,5	4,0	0,4	0,0	5,4	1,1	0,3	0,1	0,6	0,2	0,0	0,1	0,2	0,22	0,0	1,2	0,1	0,0	0,0
Tpa_0743_1	0,66	0,20	0,56	0,2	0,15	0,18	0,1	0,0	0,1	0,1	0,14	0,24	0,1	0,7	0,4	0,8	0,0	0,16	0,1	0,7	0,2	0,14	0,3	0,1	0,0	0,3	0,26	0,2	0,2	0,0	0,0	0,0
Tpa_0763_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0768_1	0,34	0,20	0,50	0,25	0,54	0,8	0,5	0,0	0,6	0,0	0,43	0,10	0,0	0,4	0,7	0,7	0,1	0,12	0,2	0,34	0,1	0,17	0,1	0,1	0,6	0,3	0,69	0,4	0,18	0,6	0,3	0,0
Tpa_0826_1	2,8	0,1	0,21	0,0	0,3	0,3	0,0	0,0	0,0	1,0	0,1	0,1	0,0	0,3	0,0	0,0	0,0	0,3	0,1	0,3	0,0	0,0	0,1	0,0	0,0	0,0	0,3	0,0	0,0	0,1	0,0	0,0
Tpa_0866_1	23,0	7,14	52,0	0,0	0,0	47,0	0,0	0,0	0,0	1,0	1,0	7,12	0,0	1,0	1,0	2,0	0,0	1,0	0,0	3,0	0,0	1,0	0,0	2,0	0,0	1,0	5,0	0,0	0,0	0,0	0,0	0,0
Tpa_0868_1	1,0	1,0	0,0	0,1	1,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	1,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,1	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0882_1	1,0	1,0	0,0	0,0	1,2	1,0	0,0	0,0	1,0	0,0	0,0	1,0	0,0	0,0	1,0	1,0	0,0	1,1	0,0	0,0	0,0	1,0	0,0	0,0	0,0	1,0	2,0	0,0	0,1	0,0	0,0	0,0
Tpa_0888_1	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0895_1	0,4	0,1	0,17	0,0	0,2	0,1	0,0	0,0	0,0	0,0	0,1	0,2	0,0	0,2	0,0	0,0	0,0	0,2	0,0	0,1	0,0	0,2	0,0	0,0	0,0	0,0	0,4	0,0	0,0	0,0	0,0	0,0
Tpa_0905_1	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0
Tpa_0912_1	0,3	0,3	0,1	0,3	0,3	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,2	0,0	0,0	0,3	0,0	0,3	0,0	0,4	0,0	0,0	0,2	0,1	0,12	0,0	0,2	0,0	0,1	0,0
Tpa_0929_1	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0
Tpa_0936_1	23,0	8,0	42,0	1,0	0,0	0,0	0,0	0,0	0,0	1,0	3,0	7,0	0,0	3,0	4,0	2,0	0,0	3,0	0,0	1,0	0,0	0,1	1,0	0,0	0,0	2,0	0,0	0,0	1,0	0,0	0,0	0,0
Tpa_0953_1	71,0	20,0	60,0	1,1	9,0	24,0	1,0	0,0	2,4	1,0	18,0	25,0	0,0	3,0	2,0	12,0	0,1	13,0	0,0	10,0	1,1	13,0	4,0	0,1	1,0	1,0	21,0	2,0	2,1	4,0	0,0	0,0
Tpa_0970_1	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0973_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0979_1	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_1007_1	2,4	0,0	7,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_1022_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_1042_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_1071_1	6,0	0,0	12,6	1,0	0,2	2,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0
Tpa_1077_1	1,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0
Tpa_1082_1	27,0	25,0	13,0	1,0	0,0	46,0	0,0	2,0	1,0	1,0	1,0	2,0	0,0	1,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	3,0	0,1	0,0	0,0	0,0	0,0	0,0
Tpa_1098_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_1112_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_1136_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_1144_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_1154_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_1156_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_1187_1	4,0	1,2	7,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	4,0	0,0	1,0	0,0	3,0	0,0	1,0	0,0	2,0	0,0	0,0	1,0	0,0	8,0	1,0	1,0	0,0	0,0	0,0
Tpa_1268_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0
Tpa_1290_1	3,0	1,0	7,0	0,0	3,0	1,0	0,0	0,0	0,0	0,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	2,1	0,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	1,0	0,0	0,0	0,0
Tpa_1304_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_1305_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_1310_1	1,0	0,0	8,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0
Tpa_1312_1	156,0	57,0	160,0	3,0	43,0	47,0	2,0	1,0	9,0	2,0	19,0	34,1	4,0	10,0	18,0	35,0	2,0	43,0	1,0	6,0	2,0	14,0	4,0	2,0	2,0	0,3	72,0	2,0	4,0	2,0	0,0	1,0
Tpa_1320_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,35	0,0	0,373	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,156	0,0	0,0	0,0	0,92	0,305	0,0	0,0	0,0	0,0	0,0
Tpa_1341_1	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_1357_1	0,2	0,0	0,4	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0
Tpa_1359_1	72,0	17,24	21,0	87,0	116,0	24,0	3,0	1,0	92,0	7,1	60,55	74,0	6,0	83,0	55,0	26,0	0,3	76,0	8,12	187,0	1,2	77,0	25,0	1,0	22,0	29,0	173,0	35,0	108,0	10,29	4,0	0,0
Tpa_1394_1	10,16	0,7	22,24	3,2	6,15	0,6	0,4	0,0	0,4	1,0	0,7	1,1	1,0	0,9	0,5	0,3	0,1	0,11	0,0	0,6	0,0	0,8	0,3	0,1	0,0	0,2	14,14	0,1	2,7	0,5	1,1	0,0
Tpa_1443_1	0,11	1,0	4,0	1,0	0,0	0,1	0,0	0,0	0,1	0,0	0,2	2,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,1	0,0	0,1	0,1	0,1	0,0	0,0	0,4	0,1	1,0	0,0	0,0	0,0
Tpa_1486_1	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_1515_1	2,0	0,0	3,0	1,0	1,0	1,0	0,0	0,0	2,0	0,0	1,0	0,0	0,0	1,0	1,0	0,0	0,0	1,3	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	7,0	1,0	2,2	0,0	0,0	0,0
Tpa_1528_1	0,1	1,0	1,0	1,0	0,0	0,0	1,0	0,0	1,0	0,0	0,0	1,0	0,0	1,0	1,0	0,0	0,0	3,1	0,0	2,0	0,0	1,0	0,0	0,0	1,0	0,0	3,0	0,0	1,0	0,0	1,0	0,0
Tpa_1542_1	1,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_1548_1	17,9	0,9	0,79	1,1	3,6	1,3	0,0	0,0	2,1	0,1	0,9	0,11	0,3	0,8	0,6	0,10	0,0	5,3	0,0	6,15	0,0	2,4	0,2	1,0	0,0	0,0	0,14	0,5	3,0	0,4	0,0	0,0
Tpa_1550_1	4,0	0,0	11,0	0,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	1,0	0,0
Tpa_1585_1	16,0	8,0	19,39	0,0	2,0	29,0	1,0	0,0	1,0	0,0	1,0	4,0	0,0	0,0	1,0	0,3	0,0	3,0	0,0	1,0	1,0	1,0	1,0	1,0	0,0	0,0	7,0	0,1	1,0	1,0	0,0	0,0
Tpa_1593_1	0,12	0,0	0,21	0,0	2,0	1,1	0,1	0,0	0,1	0,0	0,0	0,1	0,0	0,0	0,1	0,0	0,0	2,4	0,0	1,3	0,0	0,1	2,0	0,0	0,1	0,0	1,2	1,0	0,1	0,0	0,0	0,0
Tpa_1606_1	0,180	0,43	0,182	0,48	0,99	0,63	0,8	0,1	0,96	1,4	0,135	0,111	2,3	61,44	0,85	0,49	0,5	0,95	0,12	0,142	0,1	0,75	0,36	0,1	0,26	0,14	0,237	0,20	0,44	15,9	0,1	0,0
Tpa_1638_1	1,4	1,0	6,0	0,0	0,0	3,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	1,0	1,0	0,0	0,0	3,1	0,0	2,0	0,0	1,0	0,0	1,0	0,0	1,0	0,0	0,0	0,0	1,0	0,0	0,0
Tpa_1646_1	36,0	32,0	163,0	9,0	20,0	7,0	0,0	1,0	2,0	1,0	0,0	5,0	1,0	6,0	0,0	13,0	0,0	22,0	0,0	12,0	1,0	8,0	5,0	0,0	3,0	0,0	10,0	1,0	0,0	3,0	0,0	0,0
