	52507_184_S27_L001_R1_001	52507_212_S28_L001_R1_001	52507_240_S29_L001_R1_001	52507_271_S30_L001_R1_001	52507_351_S31_L001_R1_001	52507_356_S32_L001_R1_001	52507_362_S33_L001_R1_001	52507_385_S1_L001_R1_001	52507_392_S2_L001_R1_001	52507_397_S3_L001_R1_001	52507_401_S4_L001_R1_001	52507_406_S5_L001_R1_001	52507_407_S6_L001_R1_001	52507_411_S7_L001_R1_001	52507_413_S8_L001_R1_001	52507_414_S9_L001_R1_001	52507_415_S10_L001_R1_001	52507_418_S11_L001_R1_001	52507_422_S12_L001_R1_001	52507_425_S13_L001_R1_001	52507_429_S14_L001_R1_001	52507_431_S15_L001_R1_001	52507_440_S16_L001_R1_001	52507_442_S17_L001_R1_001	52507_445_S18_L001_R1_001	52507_465_S19_L001_R1_001	52507_467_S20_L001_R1_001	52507_472_S21_L001_R1_001	52507_473_S22_L001_R1_001	52507_477_S23_L001_R1_001	52507_479_S24_L001_R1_001	52507_484_S25_L001_R1_001	52507_485_S26_L001_R1_001	52508_002_S34_L001_R1_001	52508_004_S35_L001_R1_001	52508_011_S36_L001_R1_001	52508_014_S37_L001_R1_001	52508_017_S38_L001_R1_001	52508_019_S39_L001_R1_001	52508_022_S40_L001_R1_001	52508_024_S41_L001_R1_001	52508_025_S42_L001_R1_001	52508_027_S43_L001_R1_001	52508_031_S44_L001_R1_001	52508_033_S45_L001_R1_001	52508_036_S46_L001_R1_001	52508_039_S47_L001_R1_001	52508_040_S48_L001_R1_001	52508_043_S49_L001_R1_001	52508_046_S50_L001_R1_001	52508_047_S51_L001_R1_001	52508_052_S52_L001_R1_001	52508_056_S53_L001_R1_001	52508_062_S54_L001_R1_001	52508_064_S55_L001_R1_001	52508_065_S56_L001_R1_001	52508_069_S57_L001_R1_001	52508_070_S58_L001_R1_001	52508_078_S59_L001_R1_001	52508_079_S60_L001_R1_001	52508_086_S61_L001_R1_001	52508_087_S62_L001_R1_001	52508_088_S63_L001_R1_001	52508_090_S64_L001_R1_001	52508_091_S65_L001_R1_001	52508_101_S66_L001_R1_001	52508_105_S67_L001_R1_001	52508_106_S68_L001_R1_001	52508_111_S69_L001_R1_001	52508_114_S70_L001_R1_001	52508_115_S71_L001_R1_001	52508_117_S72_L001_R1_001	52508_119_S73_L001_R1_001	52508_127_S74_L001_R1_001	52508_129_S75_L001_R1_001	52508_131_S76_L001_R1_001	52508_134_S77_L001_R1_001	52508_135_S78_L001_R1_001	52508_139_S79_L001_R1_001	52508_143_S80_L001_R1_001	52508_145_S81_L001_R1_001	52508_149_S82_L001_R1_001	52508_156_S83_L001_R1_001	52508_157_S84_L001_R1_001	52508_158_S85_L001_R1_001	52508_167_S86_L001_R1_001	52508_168_S87_L001_R1_001	52508_173_S88_L001_R1_001	52508_174_S89_L001_R1_001	52508_176_S90_L001_R1_001	52508_179_S91_L001_R1_001	52508_182_S92_L001_R1_001	52508_183_S93_L001_R1_001	52508_189_S94_L001_R1_001	52508_201_S95_L001_R1_001
Tpa_0226_1	0,0	0,39	0,0	0,2	0,1	0,2	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,1	0,1	0,1	0,0	0,1	0,0	1,0	0,1	0,0	0,2	0,1	0,0	0,0	0,32	0,0	0,4	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,2	0,1	0,0	0,1	1,0	0,1	0,1	0,1	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	2,2	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,2	0,1	0,1	0,0	0,0	0,0	0,0	0,4	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_0228_1	0,0	19,20	0,2	0,1	0,4	0,4	0,3	0,1	0,0	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,4	0,0	0,0	0,0	0,0	0,1	0,2	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,4	0,3	0,0	0,0	21,14	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,2	0,1	0,1	0,0	0,1	0,1	0,0	0,4	0,1	0,1	0,0	0,5	0,0	0,0	0,0	0,3	0,0	0,0	0,0	0,2	0,0	0,1	0,2	0,1	0,1	0,0	0,1	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,2	0,1	0,1	0,0	0,0	0,0	0,1	0,6	0,0	0,0	0,1	0,0	0,1	0,0
Tpa_0263_1	5,7	0,303	1,4	20,24	0,22	29,35	0,8	0,4	0,1	0,4	0,0	0,3	0,0	0,0	0,5	1,1	0,12	0,5	0,0	0,1	0,0	0,5	0,4	0,4	13,0	3,2	0,2	0,0	0,5	0,2	0,5	0,10	10,10	2,1	0,0	0,260	0,0	4,6	0,0	0,0	0,0	0,0	2,0	0,2	0,0	0,4	0,0	0,3	2,1	0,2	0,0	5,7	0,0	1,0	0,0	0,7	0,5	1,1	0,0	0,23	0,0	0,0	0,11	0,8	0,0	0,0	0,13	0,5	1,0	0,0	0,1	0,2	3,0	39,0	2,1	0,1	0,0	0,0	1,1	0,1	1,0	0,14	0,12	6,12	0,0	0,0	0,0	0,2	0,45	0,3	0,0	0,1	2,3	0,2	0,0
Tpa_0269_1	0,4	0,163	0,1	0,39	10,0	8,15	0,0	3,0	0,1	1,0	0,0	2,2	0,0	0,1	1,0	0,0	2,8	0,3	0,0	0,1	0,0	0,3	0,0	0,4	0,3	0,1	1,1	0,0	3,0	0,0	1,0	0,0	9,1	1,0	0,0	0,85	0,0	0,19	0,1	0,0	0,0	0,0	1,1	1,0	1,1	4,3	0,0	0,0	0,3	0,2	0,0	0,8	0,0	0,0	0,0	1,2	2,3	0,2	0,0	0,8	0,0	0,0	1,3	1,0	0,0	0,0	0,5	0,4	0,0	0,0	0,1	0,0	2,0	0,26	0,0	0,0	0,1	0,0	0,2	0,2	0,1	0,11	0,4	4,0	0,0	0,0	0,0	0,0	0,15	0,2	0,0	0,0	2,0	0,1	0,0
Tpa_0272_1	0,0	14,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	11,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	1,0	0,0	0,0
Tpa_0301_1	914,0	5724,4	27,0	3289,0	515,0	1028,2	41,14	53,0	39,0	185,0	1,0	54,0	1,0	37,0	89,0	4,0	140,0	84,0	5,0	6,0	19,0	111,0	75,0	332,0	217,1	468,2	220,1	18,0	1089,0	36,0	324,0	258,0	156,0	29,0	15,0	4526,4	6,4	4323,4	14,0	4,0	5,0	15,0	103,0	24,0	94,0	608,0	27,0	20,0	55,0	9,0	12,0	333,0	19,4	15,0	12,0	85,0	159,0	17,0	40,0	1620,0	7,0	54,0	1170,1	210,0	30,0	13,0	199,0	70,0	10,0	4,0	12,1	3,1	90,0	1971,2	35,13	54,0	25,0	1,0	38,0	98,0	8,0	644,0	208,0	430,0	22,0	0,0	2,0	56,0	948,2	23,0	7,0	3,0	40,0	33,0	7,0
Tpa_0342_1	33,21	684,0	2,3	165,160	24,47	124,116	6,0	8,0	7,0	9,0	0,0	12,0	0,0	5,0	23,0	1,0	23,0	8,9	2,0	2,4	1,1	21,0	12,0	18,16	23,27	8,17	18,0	0,4	16,17	7,0	11,10	33,0	67,0	7,0	1,0	651,0	2,0	52,49	1,1	0,0	0,0	0,1	18,0	0,0	3,4	28,29	1,0	0,4	8,5	5,0	3,0	42,0	3,0	1,2	3,0	22,0	24,0	8,0	4,5	0,66	0,1	2,3	0,177	49,0	1,0	3,0	69,0	24,0	1,0	1,0	1,2	1,0	14,0	328,303	10,0	7,0	1,0	0,0	6,4	5,2	4,0	91,87	16,13	38,0	5,0	0,0	0,0	10,9	189,1	6,0	4,0	1,0	4,8	7,0	0,0
Tpa_0346_1	21,0	181,0	0,0	41,18	24,0	46,1	0,0	0,0	2,0	1,0	0,0	1,0	0,0	3,0	0,0	0,0	9,0	5,0	0,0	0,0	0,0	3,0	3,0	5,2	7,0	2,4	7,0	0,0	10,0	1,2	5,0	11,0	4,7	2,0	0,0	158,0	0,0	8,8	1,0	0,0	0,0	0,0	0,1	1,0	1,0	29,0	0,0	1,0	0,2	0,0	0,0	4,0	0,0	1,0	0,0	5,0	1,4	1,0	1,0	20,0	0,0	1,1	32,0	10,0	2,0	0,0	10,0	5,0	0,0	0,0	0,0	0,0	4,0	103,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	52,0	8,2	13,0	1,0	1,0	0,0	3,0	58,0	4,0	0,0	0,0	3,0	1,0	0,0
Tpa_0358_1	12,0	620,0	6,0	65,0	15,0	49,0	2,0	2,1	3,0	11,0	0,0	1,4	0,0	2,0	4,0	0,0	13,0	10,0	1,0	1,0	4,0	8,0	5,0	25,0	6,0	11,0	5,2	1,0	7,0	2,0	4,0	15,0	15,0	3,0	0,0	541,0	0,0	68,0	0,0	0,0	1,0	0,0	7,0	0,0	1,0	10,0	0,0	2,0	8,0	1,0	1,0	45,0	1,0	1,0	1,0	7,0	11,0	1,1	4,0	44,0	0,0	1,0	20,0	7,0	2,0	0,0	11,0	3,0	0,0	2,0	0,0	1,0	14,0	41,0	2,0	6,0	2,0	0,0	4,0	4,0	0,0	12,0	9,0	28,0	0,0	0,0	1,0	8,0	0,44	2,0	0,0	1,0	0,0	2,0	0,0
Tpa_0366_1	23,0	11,0	6,0	124,0	49,0	159,0	7,0	6,0	2,0	6,0	0,0	6,0	0,0	4,0	8,0	0,0	37,0	17,0	1,1	3,0	2,0	15,0	11,0	37,0	36,0	20,0	28,0	1,0	40,0	11,0	22,0	40,0	28,0	2,0	0,0	3,0	5,0	56,1	1,4	2,0	0,0	1,0	12,0	5,0	3,0	56,0	1,0	1,1	9,0	1,0	4,0	44,0	3,0	4,0	1,0	22,0	7,14	4,0	8,0	78,1	1,0	14,0	84,0	44,0	2,0	0,1	41,0	22,0	2,0	1,0	1,0	0,0	16,0	270,0	5,0	5,0	2,0	0,0	4,7	3,0	2,2	119,0	31,0	37,0	4,0	0,0	0,0	16,0	139,0	7,2	1,0	1,0	9,0	5,0	1,0
Tpa_0367_1	17,0	376,0	2,0	50,0	15,0	62,0	4,0	5,0	2,0	5,0	0,0	4,0	0,0	0,0	7,0	0,0	1,0	3,0	0,0	0,0	0,0	7,0	2,0	5,0	4,0	5,0	3,1	2,0	5,4	1,0	1,0	7,0	10,0	3,1	0,0	224,0	0,0	40,0	0,0	0,0	0,0	0,0	3,0	2,0	3,0	1,0	0,0	0,0	2,0	0,0	2,0	10,0	0,0	2,0	1,0	7,0	10,0	0,0	2,0	33,0	1,0	2,0	17,0	4,0	3,0	0,0	12,0	5,0	0,0	0,0	1,0	1,0	3,0	41,0	0,0	1,0	2,0	0,0	3,0	1,0	0,0	12,0	11,0	17,0	2,0	0,0	0,0	3,0	16,0	1,0	2,0	1,0	3,0	2,0	0,0
Tpa_0371_1	46,1	881,0	4,0	247,0	74,0	191,0	1,2	4,0	2,0	2,3	0,0	11,0	1,0	4,0	16,0	2,0	21,0	11,0	2,0	4,0	2,0	17,0	8,0	17,0	44,0	30,0	25,0	1,0	38,0	11,0	11,0	25,0	40,0	7,0	0,0	867,0	1,0	130,0	2,0	0,0	2,0	1,0	12,0	2,0	8,0	44,0	2,0	4,0	9,0	7,0	2,0	18,0	3,0	3,0	1,0	14,0	21,0	4,0	8,0	20,35	0,0	7,0	86,0	59,0	2,0	1,0	45,0	19,0	1,0	1,0	2,0	0,0	18,0	503,0	2,0	6,6	3,0	0,0	15,0	1,0	2,0	124,0	16,0	59,0	1,0	0,0	1,0	7,0	103,0	13,0	2,0	0,0	3,0	7,0	0,0
Tpa_0395_1	0,94	1,515	0,2	1,206	0,57	0,222	0,5	0,4	0,5	0,8	0,0	0,5	0,1	0,2	0,10	0,3	0,22	0,11	0,1	0,3	0,1	0,13	0,3	0,17	0,35	0,29	1,13	0,1	0,88	0,8	0,29	14,25	0,28	0,3	0,1	0,503	0,2	0,130	0,0	0,2	0,2	0,1	0,10	0,4	0,2	0,100	0,1	0,3	0,15	2,0	0,0	0,23	0,1	0,0	0,3	0,11	0,22	0,4	0,2	0,67	0,1	0,7	0,181	0,28	0,4	0,0	0,27	0,10	0,2	0,1	0,3	0,0	0,7	0,268	0,1	0,8	0,1	0,0	0,8	0,3	0,1	0,188	0,17	0,24	0,2	0,0	0,1	0,8	0,121	0,7	0,2	0,1	0,4	0,3	0,1
Tpa_0409_1	5,0	0,59	1,0	4,0	0,2	25,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	3,0	1,0	0,0	0,0	0,0	0,0	0,0	1,0	1,0	0,0	1,0	0,0	0,1	0,0	0,0	2,1	6,0	1,0	0,0	0,65	1,1	4,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,2	0,0	0,0	0,0	2,0	1,0	0,0	0,0	0,2	0,0	0,0	4,0	1,1	0,0	1,0	0,2	3,0	0,0	0,0	2,0	0,0	0,0	7,0	0,0	1,0	0,1	0,0	1,0	0,0	0,0	3,0	1,2	0,1	0,0	0,0	0,0	0,1	6,0	0,1	0,0	0,0	0,0	0,0	0,0
Tpa_0427_1	30,12	158,172	1,0	0,159	34,0	0,87	4,0	2,2	1,0	2,1	0,0	0,1	0,0	1,0	2,2	0,0	4,0	12,0	0,1	0,0	2,0	0,7	7,2	10,3	22,0	10,8	1,0	2,1	22,13	1,2	7,0	16,7	19,0	0,0	1,0	95,114	0,0	0,59	1,1	0,0	0,0	0,0	0,4	1,1	0,1	17,2	0,0	4,0	5,0	0,4	1,0	16,8	1,0	1,1	0,0	7,8	7,0	1,1	0,4	66,0	0,0	4,2	33,15	0,14	1,0	0,1	13,0	1,4	0,0	0,0	1,0	1,0	14,0	1,242	6,0	6,0	0,0	0,0	0,3	0,1	0,0	34,28	4,3	17,16	0,1	0,0	0,0	4,0	48,14	2,1	1,1	1,0	0,0	2,2	0,0
Tpa_0429_1	0,9	0,152	0,1	0,64	0,17	0,37	0,2	0,3	0,1	0,5	0,0	0,1	0,0	0,2	0,1	0,0	0,3	0,4	0,0	0,0	0,1	0,3	0,0	0,6	0,6	0,8	0,7	0,0	0,8	0,0	0,5	0,3	0,4	0,0	0,0	0,137	0,0	0,41	0,1	0,0	0,0	0,0	0,3	0,0	0,1	0,4	0,1	0,1	0,1	0,2	0,0	0,11	0,3	0,1	0,0	0,0	0,5	0,3	0,4	0,7	0,2	0,1	0,22	0,13	0,2	0,0	0,1	0,4	0,0	0,0	0,0	0,0	0,2	0,52	0,3	0,0	0,0	0,0	0,0	0,0	0,0	0,14	0,7	0,17	0,3	0,1	0,0	0,1	0,30	0,1	0,1	0,0	0,1	0,2	0,0
Tpa_0438_1	0,1	0,183	0,2	0,23	0,12	0,17	0,0	0,0	1,1	0,1	0,0	0,2	0,0	0,1	0,0	0,2	0,6	0,4	1,2	0,1	1,1	0,4	0,1	0,4	0,5	0,1	0,3	0,1	1,2	0,1	0,4	0,2	8,9	0,0	0,1	0,166	0,0	0,8	0,0	0,0	0,0	0,0	0,1	0,1	0,2	0,2	0,1	0,0	0,2	0,1	0,1	0,3	0,1	0,1	0,1	0,4	1,2	0,2	0,1	0,10	0,0	0,1	0,7	0,4	0,0	0,0	0,2	0,8	0,0	0,0	0,1	0,0	0,2	0,29	0,0	0,1	0,0	0,0	0,1	0,1	0,0	0,9	0,7	0,6	0,3	0,0	0,0	0,3	0,13	0,0	1,0	0,0	1,1	0,0	0,0
